text,category
"Application is slow after deployment","Application"
"Users are unable to login to the application","Application"
"Database connection timeout observed","Database"
"High CPU usage on production server","Infrastructure"
"Disk space is full on Linux server","Infrastructure"
"User unable to reset password","Access"
"New user onboarding access issue","Access"
"Network latency observed between services","Network"
"VPN connection drops frequently","Network"
"Email service is not working","Application"
"Database query taking too long","Database"
"Unable to connect to production database","Database"
"Database service restarted unexpectedly","Database"
"Primary database node is down","Database"
"Database query timeout error on PostgreSQL","Database"
"MySQL database connection refused","Database"
"Oracle DB listener not responding","Database"
"Primary database node replication failure","Database"
